status,k,null_threshold,max_distance,n,EM,F1,ans_n,ans_EM,ans_F1,un_n,noans_acc,avg_ms,p50_ms,limit,timeout,dataset
ok,3,0.6,0.6,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,544.41,513,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.6,0.65,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,613.05,579,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.6,0.7,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,528.94,508,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.65,0.6,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,520.33,497,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.65,0.65,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,531.94,504,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.65,0.7,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,656.42,614,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.7,0.6,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,547.94,522,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.7,0.65,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,527.36,499,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.7,0.7,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,534.61,512,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.75,0.6,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,533.73,511,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.75,0.65,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,541.3,514,100,300,/workspace/data/squad/dev-v2.0.json
ok,3,0.75,0.7,100,0.5,0.5252,45,0.2444,0.3005,55,0.7091,535.21,503,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.6,0.6,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,634.89,611,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.6,0.65,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,632.71,605,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.6,0.7,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,622.48,600,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.65,0.6,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,559.79,531,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.65,0.65,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,606.3,588,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.65,0.7,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,614.32,594,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.7,0.6,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,612.21,579,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.7,0.65,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,625.7,592,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.7,0.7,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,606.68,583,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.75,0.6,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,618.9,592,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.75,0.65,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,606.23,575,100,300,/workspace/data/squad/dev-v2.0.json
ok,4,0.75,0.7,100,0.51,0.5277,45,0.2889,0.3283,55,0.6909,605.98,583,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.6,0.6,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,692.2,662,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.6,0.65,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,650.43,628,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.6,0.7,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,695.77,673,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.65,0.6,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,692.75,682,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.65,0.65,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,696.9,669,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.65,0.7,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,695.58,672,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.7,0.6,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,688.8,667,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.7,0.65,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,698.77,676,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.7,0.7,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,697.2,678,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.75,0.6,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,695.56,674,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.75,0.65,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,660.31,639,100,300,/workspace/data/squad/dev-v2.0.json
ok,5,0.75,0.7,100,0.53,0.5537,45,0.2667,0.3193,55,0.7455,620.49,600,100,300,/workspace/data/squad/dev-v2.0.json
